Month-Year,Rail Station Name,NLC,Month Name (Travel Date),Calendar Year (Travel Date),Count of Taps
2018-04,West Hampstead LU,758,April,2018,849494
2018-04,Turnham Green,734,April,2018,462839
2018-04,Wembley Park,752,April,2018,1543889
2018-05,Great Portland Street,588,May,2018,638299
2018-05,Greenford,589,May,2018,367191
2018-05,Green Park,590,May,2018,3172100
2018-05,Harrow-on-the-Hill,598,May,2018,900242
2018-05,Warren Street,745,May,2018,1553053
2018-05,Harrow & Wealdstone,597,May,2018,404139
2018-05,Hainault,592,May,2018,317214
2018-05,Wanstead,743,May,2018,232541
2018-05,Hammersmith C&H,773,May,2018,824872
2018-05,Hammersmith D&P,593,May,2018,2293861
2018-05,Goodge Street,586,May,2018,550545
2018-05,Victoria LU,741,May,2018,4714148
2018-05,Harlesden,596,May,2018,249106
2018-05,Hampstead,594,May,2018,396177
2018-05,Gunnersbury,591,May,2018,440846
2018-05,Walthamstow Central,742,May,2018,721949
2018-05,Barons Court,516,May,2018,588055
2018-05,Grange Hill,587,May,2018,53742
2018-05,Hanger Lane,595,May,2018,305928
2018-05,Warwick Avenue,746,May,2018,356808
2018-05,Upton Park,739,May,2018,831122
2018-05,Vauxhall LU,777,May,2018,2592577
2018-05,Hounslow West,613,May,2018,291783
2018-05,Hyde Park Corner,614,May,2018,509934
2018-05,Ickenham,615,May,2018,99389
2018-05,Turnham Green,734,May,2018,488740
2018-05,Kennington,616,May,2018,428889
2018-05,Kensal Green,617,May,2018,200748
2018-05,Kensington Olympia,618,May,2018,270622
2018-05,Tufnell Park,733,May,2018,294281
2018-05,Turnpike Lane,735,May,2018,872473
2018-05,Kentish Town,619,May,2018,620210
2018-05,Kenton,620,May,2018,154360
2018-05,Kew Gardens,621,May,2018,427569
2018-05,Tower Hill,731,May,2018,1956900
2018-05,Kilburn,622,May,2018,684258
2018-05,Kilburn Park,623,May,2018,278498
2018-05,Kings Cross LU (Tube),625,May,2018,2732473
2018-05,Totteridge,730,May,2018,195434
2018-05,Kingsbury,624,May,2018,427774
2018-05,Barbican,501,May,2018,831407
2018-05,Hatton Cross,779,May,2018,269549
2018-05,Hounslow East,612,May,2018,335079
2018-05,Hornchurch,610,May,2018,188426
2018-05,Barkingside,515,May,2018,133252
2018-05,Heathrow Terminal 4 LU,781,May,2018,191944
2018-05,Heathrow Terminal 5 LU,783,May,2018,404438
2018-05,Heathrow Terminals 123 LU,780,May,2018,730689
2018-05,Uxbridge,740,May,2018,642358
2018-05,Hendon Central,601,May,2018,543542
2018-05,High Barnet,602,May,2018,320701
2018-05,High Street Kensington,605,May,2018,928165
2018-05,Hounslow Central,611,May,2018,324214
2018-05,Highbury & Islington,603,May,2018,1528948
2018-05,Highgate,604,May,2018,426881
2018-05,Hillingdon,606,May,2018,152148
2018-05,Upney,738,May,2018,223882
2018-05,Holborn,607,May,2018,2495805
2018-05,Holland Park,608,May,2018,318274
2018-05,Barking,514,May,2018,1551670
2018-05,Holloway Road,609,May,2018,516809
2018-05,Upminster Bridge,737,May,2018,87621
2018-05,Aldgate East,503,May,2018,1025100
2018-05,Goldhawk Road,585,May,2018,166552
2018-05,South Kensington,708,May,2018,2569377
2018-05,Waterloo LU (Bloo/Nthn/W&C),747,May,2018,3176283
2018-05,Cannon Street  LU,536,May,2018,640243
2018-05,Canons Park,537,May,2018,265426
2018-05,Whitechapel,763,May,2018,1033053
2018-05,Chalfont & Latimer,539,May,2018,95410
2018-05,Chalk Farm,540,May,2018,440997
2018-05,White City,764,May,2018,680065
2018-05,Chancery Lane,541,May,2018,1349738
2018-05,Acton Town,500,May,2018,501778
2018-05,Chesham,543,May,2018,95918
2018-05,Chigwell,544,May,2018,43341
2018-05,Chiswick Park,545,May,2018,180860
2018-05,Westminster,761,May,2018,2206322
2018-05,Bermondsey,787,May,2018,836181
2018-05,Chorleywood,546,May,2018,55543
2018-05,Clapham Common,547,May,2018,821148
2018-05,Clapham North,548,May,2018,528219
2018-05,Westbourne Park,754,May,2018,310431
2018-05,Clapham South,549,May,2018,685064
2018-05,Cockfosters,550,May,2018,167585
2018-05,Canning Town,884,May,2018,1179724
2018-05,Willesden Green,765,May,2018,708173
2018-05,Canary Wharf LU (E1),852,May,2018,3411728
2018-05,Canada Water,788,May,2018,1107442
2018-05,Blackhorse Road,522,May,2018,771980
2018-05,Woodside Park,771,May,2018,187106
2018-05,Bond Street,524,May,2018,2950706
2018-05,Blackfriars LU,521,May,2018,976624
2018-05,Borough,525,May,2018,456913
2018-05,Boston Manor,526,May,2018,176424
2018-05,Woodford,769,May,2018,485428
2018-05,Bounds Green,527,May,2018,511742
2018-05,Bow Road,528,May,2018,421924
2018-05,Colindale,551,May,2018,572649
2018-05,Brent Cross,529,May,2018,191285
2018-05,Brixton LU,778,May,2018,2550111
2018-05,Bromley-by-Bow,530,May,2018,202864
2018-05,Wood Green,770,May,2018,1018464
2018-05,Buckhurst Hill,531,May,2018,174424
2018-05,Burnt Oak,532,May,2018,359280
2018-05,Caledonian Road,534,May,2018,449998
2018-05,Wimbledon Park,768,May,2018,171156
2018-05,Camden Town,535,May,2018,1699197
2018-05,Bethnal Green LU,520,May,2018,1247683
2018-05,Wood Lane,599,May,2018,312037
2018-05,West Ruislip,762,May,2018,119681
2018-05,Colliers Wood,552,May,2018,550610
2018-05,Covent Garden,553,May,2018,1381407
2018-05,Elephant & Castle,570,May,2018,1608658
2018-05,Elm Park,571,May,2018,262472
2018-05,West Acton,753,May,2018,136660
2018-05,Embankment,542,May,2018,1757828
2018-05,Epping,572,May,2018,303334
2018-05,Euston LU,574,May,2018,2734825
2018-05,Wembley Park,752,May,2018,1696688
2018-05,Aldgate,502,May,2018,706438
2018-05,Knightsbridge,626,May,2018,1341567
2018-05,Edgware Road C&H,569,May,2018,532103
2018-05,Fairlop,576,May,2018,102483
